level ,unique_output,reuse_output,total_output,reuseRate_output,unique_input_0,reuse_input_0,total_input_0,reuseRate_input_0,unique_input_1,reuse_input_1,total_input_1,reuseRate_input_1,bufferSize_output,bufferSize_input_0,bufferSize_input_1,totalBandWidth_output,totalBandWidth_input_0,totalBandWidth_input_1,maxInitDelay_output,maxInitDelay_input_0,maxInitDelay_input_1,maxInitTimes,maxStableDelay_output,maxStableDelay_input_0,maxStableDelay_input_1,maxStableCompDelay,delay,compCycleRate,PEUtilRate
0,6336,16896,23232,0.727273,5808,17424,23232,0.750000,7744,15488,23232,0.666667,12,12,16,48,192,64,4,1,1,1,0,1,1,1,10,0.379310,0.379310
1,132,6204,6336,0.979167,1848,3960,5808,0.681818,704,7040,7744,0.909091,132,924,704,8192,8192,512,12,12,16,1,0,12,16,10,764,0.151832,0.013048
level ,unique_output,reuse_output,total_output,reuseRate_output,unique_input_0,reuse_input_0,total_input_0,reuseRate_input_0,unique_input_1,reuse_input_1,total_input_1,reuseRate_input_1,bufferSize_output,bufferSize_input_0,bufferSize_input_1,totalBandWidth_output,totalBandWidth_input_0,totalBandWidth_input_1,maxInitDelay_output,maxInitDelay_input_0,maxInitDelay_input_1,maxInitTimes,maxStableDelay_output,maxStableDelay_input_0,maxStableDelay_input_1,maxStableCompDelay,delay,compCycleRate,PEUtilRate
0,28901376,57802752,86704128,0.666667,5419008,81285120,86704128,0.937500,387072,86317056,86704128,0.995536,7168,1344,96,256,768,256,1,1,3,1,1,1,0,1,230,0.973913,0.973913
1,9633792,19267584,28901376,0.666667,1354752,4064256,5419008,0.750000,387072,0,387072,0.000000,6422528,306456,3456,1024,1024,1024,224,42,3,672,0,42,3,230,642432,0.721757,0.721757
level ,unique_output,reuse_output,total_output,reuseRate_output,unique_input_0,reuse_input_0,total_input_0,reuseRate_input_0,unique_input_1,reuse_input_1,total_input_1,reuseRate_input_1,bufferSize_output,bufferSize_input_0,bufferSize_input_1,totalBandWidth_output,totalBandWidth_input_0,totalBandWidth_input_1,maxInitDelay_output,maxInitDelay_input_0,maxInitDelay_input_1,maxInitTimes,maxStableDelay_output,maxStableDelay_input_0,maxStableDelay_input_1,maxStableCompDelay,delay,compCycleRate,PEUtilRate
0,28901376,57802752,86704128,0.666667,5419008,81285120,86704128,0.937500,387072,86317056,86704128,0.995536,7168,1344,96,256,768,256,1,1,3,1,1,1,0,1,230,0.973913,0.973913
1,9633792,19267584,28901376,0.666667,1354752,4064256,5419008,0.750000,387072,0,387072,0.000000,6422528,306456,3456,1024,1024,1024,224,42,3,672,0,42,3,230,1106112,0.419198,0.419198
level ,unique_output,reuse_output,total_output,reuseRate_output,unique_input_0,reuse_input_0,total_input_0,reuseRate_input_0,unique_input_1,reuse_input_1,total_input_1,reuseRate_input_1,bufferSize_output,bufferSize_input_0,bufferSize_input_1,totalBandWidth_output,totalBandWidth_input_0,totalBandWidth_input_1,maxInitDelay_output,maxInitDelay_input_0,maxInitDelay_input_1,maxInitTimes,maxStableDelay_output,maxStableDelay_input_0,maxStableDelay_input_1,maxStableCompDelay,delay,compCycleRate,PEUtilRate
0,28901376,57802752,86704128,0.666667,5419008,81285120,86704128,0.937500,387072,86317056,86704128,0.995536,7168,1344,96,256,768,256,1,1,3,1,1,1,0,1,230,0.973913,0.973913
1,3211264,25690112,28901376,0.888889,1354752,4064256,5419008,0.750000,387072,0,387072,0.000000,6422528,306456,3456,1024,1024,1024,224,42,3,224,0,42,3,230,523264,0.886130,0.886130
level ,unique_output,reuse_output,total_output,reuseRate_output,unique_input_0,reuse_input_0,total_input_0,reuseRate_input_0,unique_input_1,reuse_input_1,total_input_1,reuseRate_input_1,bufferSize_output,bufferSize_input_0,bufferSize_input_1,totalBandWidth_output,totalBandWidth_input_0,totalBandWidth_input_1,maxInitDelay_output,maxInitDelay_input_0,maxInitDelay_input_1,maxInitTimes,maxStableDelay_output,maxStableDelay_input_0,maxStableDelay_input_1,maxStableCompDelay,delay,compCycleRate,PEUtilRate
0,28901376,57802752,86704128,0.666667,5419008,81285120,86704128,0.937500,387072,86317056,86704128,0.995536,7168,1344,96,256,768,256,1,1,3,1,1,1,0,1,230,0.973913,0.973913
1,3211264,25690112,28901376,0.888889,1354752,4064256,5419008,0.750000,387072,0,387072,0.000000,6422528,306456,3456,1024,1024,1024,224,42,3,224,0,42,3,230,986944,0.469814,0.469814
level ,unique_output,reuse_output,total_output,reuseRate_output,unique_input_0,reuse_input_0,total_input_0,reuseRate_input_0,unique_input_1,reuse_input_1,total_input_1,reuseRate_input_1,bufferSize_output,bufferSize_input_0,bufferSize_input_1,totalBandWidth_output,totalBandWidth_input_0,totalBandWidth_input_1,maxInitDelay_output,maxInitDelay_input_0,maxInitDelay_input_1,maxInitTimes,maxStableDelay_output,maxStableDelay_input_0,maxStableDelay_input_1,maxStableCompDelay,delay,compCycleRate,PEUtilRate
0,28901376,57802752,86704128,0.666667,5419008,81285120,86704128,0.937500,387072,86317056,86704128,0.995536,7168,1344,96,256,768,256,1,1,3,1,1,1,0,1,230,0.973913,0.973913
1,9633792,19267584,28901376,0.666667,1354752,4064256,5419008,0.750000,387072,0,387072,0.000000,6422528,306456,3456,1024,1024,1024,224,42,3,672,0,42,3,230,642432,0.721757,0.721757
level ,unique_output,reuse_output,total_output,reuseRate_output,unique_input_0,reuse_input_0,total_input_0,reuseRate_input_0,unique_input_1,reuse_input_1,total_input_1,reuseRate_input_1,bufferSize_output,bufferSize_input_0,bufferSize_input_1,totalBandWidth_output,totalBandWidth_input_0,totalBandWidth_input_1,maxInitDelay_output,maxInitDelay_input_0,maxInitDelay_input_1,maxInitTimes,maxStableDelay_output,maxStableDelay_input_0,maxStableDelay_input_1,maxStableCompDelay,delay,compCycleRate,PEUtilRate
0,28901376,57802752,86704128,0.666667,5419008,81285120,86704128,0.937500,387072,86317056,86704128,0.995536,7168,1344,96,256,768,256,1,1,3,1,1,1,0,1,230,0.973913,0.973913
1,3211264,25690112,28901376,0.888889,1354752,4064256,5419008,0.750000,387072,0,387072,0.000000,6422528,306456,3456,1024,1024,1024,224,42,3,224,0,42,3,230,523264,0.886130,0.886130
level ,unique_output,reuse_output,total_output,reuseRate_output,unique_input_0,reuse_input_0,total_input_0,reuseRate_input_0,unique_input_1,reuse_input_1,total_input_1,reuseRate_input_1,bufferSize_output,bufferSize_input_0,bufferSize_input_1,totalBandWidth_output,totalBandWidth_input_0,totalBandWidth_input_1,maxInitDelay_output,maxInitDelay_input_0,maxInitDelay_input_1,maxInitTimes,maxStableDelay_output,maxStableDelay_input_0,maxStableDelay_input_1,maxStableCompDelay,delay,compCycleRate,PEUtilRate
0,895795200,0,895795200,0.000000,14515200,881280000,895795200,0.983796,895795200,0,895795200,0.000000,746496,184512,307200,16,16,16,4096,1,4096,1,256,1,256,1,3218234961,0.001289,0.001087
